primary_genre,game_count,percentage
Action,37452,0.4319922487773369
Adventure,22864,0.26372612346590385
Casual,18229,0.21026344929408508
Indie,4299,0.049587062840269445
Simulation,1564,0.01804004798375934
RPG,1334,0.015387099750853558
Strategy,667,0.007693549875426779
Free to Play,129,0.0014879579219341146
Racing,111,0.001280335886315401
Massively Multiplayer,32,0.0003691058410999354
Sports,13,0.00014994924794684876
Violent,2,2.3069115068745963e-05
