segment,game_count,average_price,median_price,average_positive_review_rate,median_estimated_owners_midpoint
Indie,63288,7.6539471937808115,4.99,61.07352294273796,10000.0
Non-Indie,23408,11.76154605263158,7.19,54.52263456937799,10000.0
